T0001_001_0	長阿含經序夫宗極絕於稱謂賢聖以之沖默玄旨
T0001_001_690	耳清淨聞諸比丘作如是議即從座起詣花林堂就
T0001_001_700	議即從座起詣花林堂就座而坐爾時世尊知而故
T0001_001_710	座而坐爾時世尊知而故問謂諸比丘汝等集此何
T0001_001_720	問謂諸比丘汝等集此何所語議時諸比丘具以事
T0001_001_730	所語議時諸比丘具以事答爾時世尊告諸比丘善
T0001_001_740	答爾時世尊告諸比丘善哉善哉汝等以平等信出
T0001_001_750	哉善哉汝等以平等信出家修道諸所應行凡有二
T0001_001_760	家修道諸所應行凡有二業一曰賢聖講法二曰賢
T0001_001_770	業一曰賢聖講法二曰賢聖默然汝等所論正應如
T0001_001_780	聖默然汝等所論正應如是如來神通威力弘大盡
T0001_001_790	是如來神通威力弘大盡知過去無數劫事以能善
T0001_001_800	知過去無數劫事以能善解法性故知亦以諸天來
T0001_001_810	解法性故知亦以諸天來語故知佛時頌曰比丘集
T0001_001_820	語故知佛時頌曰比丘集法堂講說賢聖論如來處
T0001_001_830	法堂講說賢聖論如來處靜室天耳盡聞知佛日光
T0001_001_840	靜室天耳盡聞知佛日光普照分別法界義亦知過
T0001_001_850	普照分別法界義亦知過去事三佛般泥洹名號姓
T0001_001_860	去事三佛般泥洹名號姓種族受生分亦知隨彼之
T0001_001_870	種族受生分亦知隨彼之處所淨眼皆記之諸天大
T0001_001_880	處所淨眼皆記之諸天大威力容貌甚端嚴亦來啟
T0001_001_890	威力容貌甚端嚴亦來啟告我三佛般泥洹記生名
T0001_001_900	告我三佛般泥洹記生名號姓哀鸞音盡知無上天
T0001_001_910	號姓哀鸞音盡知無上天人尊記於過去佛又告諸
T0001_001_920	人尊記於過去佛又告諸比丘汝等欲聞如來識宿
T0001_001_930	比丘汝等欲聞如來識宿命智知於過去諸佛因緣
T0001_001_940	命智知於過去諸佛因緣不我當說之時諸比丘白
T0001_001_950	不我當說之時諸比丘白言世尊今正是時願樂欲
T0001_001_960	言世尊今正是時願樂欲聞善哉世尊以時講說當
T0001_001_970	聞善哉世尊以時講說當奉行之佛告諸比丘諦聽
T0001_001_980	奉行之佛告諸比丘諦聽諦聽善思念之吾當為汝
T0001_001_990	諦聽善思念之吾當為汝分別解說時諸比丘受教
T0001_001_1000	分別解說時諸比丘受教而聽佛告諸比丘過去九
T0001_001_1010	而聽佛告諸比丘過去九十一劫時世有佛名毘婆
T0001_001_1020	十一劫時世有佛名毘婆尸如來至真出現于世復
T0001_001_1030	尸如來至真出現于世復次比丘過去三十一劫有
T0001_001_1040	次比丘過去三十一劫有佛名尸棄如來至真出現
T0001_001_1050	佛名尸棄如來至真出現於世復次比丘即彼三十
T0001_001_1060	於世復次比丘即彼三十一劫中有佛名毘舍婆如
T0001_001_1070	一劫中有佛名毘舍婆如來至真出現於世復次比
T0001_001_1080	來至真出現於世復次比丘此賢劫中有佛名拘樓
T0001_001_1090	丘此賢劫中有佛名拘樓孫又名拘那含又名迦葉
T0001_001_1100	孫又名拘那含又名迦葉我今亦於賢劫中成最正
T0001_001_1110	我今亦於賢劫中成最正覺佛時頌曰過九十一劫
T0001_001_1120	覺佛時頌曰過九十一劫有毘婆尸佛次三十一劫
T0001_001_1130	有毘婆尸佛次三十一劫有佛名尸棄即於彼劫中
T0001_001_1140	有佛名尸棄即於彼劫中毘舍如來出今此賢劫中
T0001_001_1150	毘舍如來出今此賢劫中無數那維歲有四大仙人
T0001_001_1160	無數那維歲有四大仙人愍眾生故出拘樓孫那含
T0001_001_1170	愍眾生故出拘樓孫那含迦葉釋迦文汝等當知毘
T0001_001_1180	迦葉釋迦文汝等當知毘婆尸佛時人壽八萬歲尸
T0001_001_1190	婆尸佛時人壽八萬歲尸棄佛時人壽七萬歲毘舍
T0001_001_1200	棄佛時人壽七萬歲毘舍婆佛時人壽六萬歲拘樓
T0001_001_1210	婆佛時人壽六萬歲拘樓孫佛時人壽四萬歲拘那
T0001_001_1220	孫佛時人壽四萬歲拘那含佛時人壽三萬歲迦葉
T0001_001_1230	含佛時人壽三萬歲迦葉佛時人壽二萬歲我今出
T0001_001_1240	佛時人壽二萬歲我今出世人壽百歲少出多減佛
T0001_001_1250	世人壽百歲少出多減佛時頌曰毘婆尸時人壽八
T0001_001_1260	時頌曰毘婆尸時人壽八萬四千尸棄佛時人壽命
T0001_001_1270	萬四千尸棄佛時人壽命七萬歲毘舍婆時人壽命
T0001_001_1280	七萬歲毘舍婆時人壽命六萬歲拘樓孫時人壽命
T0001_001_1290	六萬歲拘樓孫時人壽命四萬歲拘那含時人壽命
T0001_001_1300	四萬歲拘那含時人壽命三萬歲迦葉佛時人壽命
T0001_001_1310	三萬歲迦葉佛時人壽命二萬歲如我今時人壽命
T0001_001_1320	二萬歲如我今時人壽命不過百毘婆尸佛出剎利
T0001_001_1330	不過百毘婆尸佛出剎利種姓拘利若尸棄佛毘舍
T0001_001_1340	種姓拘利若尸棄佛毘舍婆佛種姓亦爾拘樓孫佛
T0001_001_1350	婆佛種姓亦爾拘樓孫佛出婆羅門種姓迦葉拘那
T0001_001_1360	出婆羅門種姓迦葉拘那含佛迦葉佛種姓亦爾我
T0001_001_1370	含佛迦葉佛種姓亦爾我今如來至真出剎利種姓
T0001_001_1380	今如來至真出剎利種姓名曰瞿曇佛時頌曰毘婆
T0001_001_1390	名曰瞿曇佛時頌曰毘婆尸如來尸棄毘舍婆此三
T0001_001_1400	尸如來尸棄毘舍婆此三等正覺出拘利若姓自餘
T0001_001_1410	等正覺出拘利若姓自餘三如來出于迦葉姓我今
T0001_001_1420	三如來出于迦葉姓我今無上尊導御諸眾生天人
T0001_001_1430	無上尊導御諸眾生天人中第一勇猛姓瞿曇前三
T0001_001_1440	中第一勇猛姓瞿曇前三等正覺出於剎利種其後
T0001_001_1450	等正覺出於剎利種其後三如來出婆羅門種我今
T0001_001_1460	三如來出婆羅門種我今無上尊勇猛出剎利毘婆
T0001_001_1470	無上尊勇猛出剎利毘婆尸佛坐波波羅樹下成最
T0001_001_1480	尸佛坐波波羅樹下成最正覺尸棄佛坐分陀利樹
T0001_001_1490	正覺尸棄佛坐分陀利樹下成最正覺毘舍婆佛坐
T0001_001_1500	下成最正覺毘舍婆佛坐娑羅樹下成最正覺拘樓
T0001_001_1510	娑羅樹下成最正覺拘樓孫佛坐尸利沙樹下成最
T0001_001_1520	孫佛坐尸利沙樹下成最正覺拘那含佛坐烏暫婆
T0001_001_1530	正覺拘那含佛坐烏暫婆羅門樹下成最正覺迦葉
T0001_001_1540	羅門樹下成最正覺迦葉佛坐尼拘律樹下成最正
T0001_001_1550	佛坐尼拘律樹下成最正覺我今如來至真坐鉢多
T0001_001_1560	覺我今如來至真坐鉢多樹下成最正覺佛時頌曰
T0001_001_1570	樹下成最正覺佛時頌曰毘婆尸如來往詣波羅樹
T0001_001_1580	毘婆尸如來往詣波羅樹即於彼處所得成最正覺
T0001_001_1590	即於彼處所得成最正覺尸棄分陀樹成道滅有原
T0001_001_1600	尸棄分陀樹成道滅有原毘舍婆如來坐娑羅樹下
T0001_001_1610	毘舍婆如來坐娑羅樹下獲解脫知見神足無所礙
T0001_001_1620	獲解脫知見神足無所礙拘樓孫如來坐尸利沙樹
T0001_001_1630	拘樓孫如來坐尸利沙樹一切智清淨無染無所著
T0001_001_1640	一切智清淨無染無所著拘那含牟尼坐烏暫樹下
T0001_001_1650	拘那含牟尼坐烏暫樹下即於彼處所滅諸貪憂惱
T0001_001_1660	即於彼處所滅諸貪憂惱迦葉如來坐尼拘樓樹下
T0001_001_1670	迦葉如來坐尼拘樓樹下即於彼處所除滅諸有本
T0001_001_1680	即於彼處所除滅諸有本我今釋迦文坐於鉢多樹
T0001_001_1690	我今釋迦文坐於鉢多樹如來十力尊斷滅諸結使
T0001_001_1700	如來十力尊斷滅諸結使摧伏眾魔怨在眾演大明
T0001_001_1710	摧伏眾魔怨在眾演大明七佛精進力放光滅闇冥
T0001_001_1720	七佛精進力放光滅闇冥各各坐諸樹於中成正覺
T0001_001_1730	各各坐諸樹於中成正覺毘婆尸如來三會說法初
T0001_001_1740	毘婆尸如來三會說法初會弟子有十六萬八千人
T0001_001_1750	會弟子有十六萬八千人二會弟子有十萬人三會
T0001_001_1760	二會弟子有十萬人三會弟子有八萬人尸棄如來
T0001_001_1770	弟子有八萬人尸棄如來亦三會說法初會弟子有
T0001_001_1780	亦三會說法初會弟子有十萬人二會弟子有八萬
T0001_001_1790	十萬人二會弟子有八萬人三會弟子有七萬人毘
T0001_001_1800	人三會弟子有七萬人毘舍婆如來二會說法初會
T0001_001_1810	舍婆如來二會說法初會弟子有七萬人次會弟子
T0001_001_1820	弟子有七萬人次會弟子有六萬人拘樓孫如來一
T0001_001_1830	有六萬人拘樓孫如來一會說法弟子四萬人拘那
T0001_001_1840	會說法弟子四萬人拘那含如來一會說法弟子三
T0001_001_1850	含如來一會說法弟子三萬人迦葉如來一會說法
T0001_001_1860	萬人迦葉如來一會說法弟子二萬人我今一會說
T0001_001_1870	弟子二萬人我今一會說法弟子千二百五十人佛
T0001_001_1880	法弟子千二百五十人佛時頌曰毘婆尸名觀智慧
T0001_001_1890	時頌曰毘婆尸名觀智慧不可量遍見無所畏三會
T0001_001_1900	不可量遍見無所畏三會弟子眾尸棄光無動能滅
T0001_001_1910	弟子眾尸棄光無動能滅諸結使無量大威德無能
T0001_001_1920	諸結使無量大威德無能測量者彼佛亦三會弟子
T0001_001_1930	測量者彼佛亦三會弟子普共集毘舍婆斷結大仙
T0001_001_1940	普共集毘舍婆斷結大仙人要集名聞於諸方妙法
T0001_001_1950	人要集名聞於諸方妙法大名稱二會弟子眾普演
T0001_001_1960	大名稱二會弟子眾普演深奧義拘樓孫一會哀愍
T0001_001_1970	深奧義拘樓孫一會哀愍療諸苦導師化眾生一會
T0001_001_1980	療諸苦導師化眾生一會弟子眾拘那含如來無上
T0001_001_1990	弟子眾拘那含如來無上亦如是紫磨金色身容貌
T0001_001_2000	亦如是紫磨金色身容貌悉具足一會弟子眾普演
T0001_001_2010	悉具足一會弟子眾普演微妙法迦葉一一毛一心
T0001_001_2020	微妙法迦葉一一毛一心無亂想一語不煩重一會
T0001_001_2030	無亂想一語不煩重一會弟子眾能仁意寂滅釋種
T0001_001_2040	弟子眾能仁意寂滅釋種沙門上天中天最尊我一
T0001_001_2050	沙門上天中天最尊我一會弟子彼會我現義演布
T0001_001_2060	會弟子彼會我現義演布清淨教心常懷歡喜漏盡
T0001_001_2070	清淨教心常懷歡喜漏盡盡後有毘婆尸棄三毘舍
T0001_001_2080	盡後有毘婆尸棄三毘舍婆佛二四佛各各一仙人
T0001_001_2090	婆佛二四佛各各一仙人會演說時毘婆尸佛有二
T0001_001_2100	會演說時毘婆尸佛有二弟子一名騫茶二名提舍
T0001_001_2110	弟子一名騫茶二名提舍諸弟子中最為第一尸棄
T0001_001_2120	諸弟子中最為第一尸棄佛有二弟子一名阿毘浮
T0001_001_2130	佛有二弟子一名阿毘浮二名三婆婆諸弟子中最
T0001_001_2140	二名三婆婆諸弟子中最為第一毘舍婆佛有二弟
T0001_001_2150	為第一毘舍婆佛有二弟子一名扶遊二名鬱多摩
T0001_001_2160	子一名扶遊二名鬱多摩諸弟子中最為第一拘樓
T0001_001_2170	諸弟子中最為第一拘樓孫佛有二弟子一名薩尼
T0001_001_2180	孫佛有二弟子一名薩尼二名毘樓諸弟子中最為
T0001_001_2190	二名毘樓諸弟子中最為第一拘那含佛有二弟子
T0001_001_2200	第一拘那含佛有二弟子一名舒槃那二名鬱多樓
T0001_001_2210	一名舒槃那二名鬱多樓諸弟子中最為第一迦葉
T0001_001_2220	諸弟子中最為第一迦葉佛有二弟子一名提舍二
T0001_001_2230	佛有二弟子一名提舍二名婆羅婆諸弟子中最為
T0001_001_2240	名婆羅婆諸弟子中最為第一今我二弟子一名舍
T0001_001_2250	第一今我二弟子一名舍利弗二名目揵連諸弟子
T0001_001_2260	利弗二名目揵連諸弟子中最為第一佛時頌曰騫
T0001_001_2270	中最為第一佛時頌曰騫茶提舍等毗婆尸弟子阿
T0001_001_2280	茶提舍等毗婆尸弟子阿毗浮三婆尸棄佛弟子扶
T0001_001_2290	毗浮三婆尸棄佛弟子扶遊鬱多摩弟子中第一二
T0001_001_2300	遊鬱多摩弟子中第一二俱降魔怨毗舍婆弟子薩
T0001_001_2310	俱降魔怨毗舍婆弟子薩尼毗樓等拘樓孫弟子舒
T0001_001_2320	尼毗樓等拘樓孫弟子舒槃鬱多樓拘那含弟子提
T0001_001_2330	槃鬱多樓拘那含弟子提舍婆羅婆迦葉佛弟子舍
T0001_001_2340	舍婆羅婆迦葉佛弟子舍利弗目連是我第一子毗
T0001_001_2350	利弗目連是我第一子毗婆尸佛有執事弟子名曰
T0001_001_2360	婆尸佛有執事弟子名曰無憂尸棄佛執事弟子名
T0001_001_2370	無憂尸棄佛執事弟子名曰忍行毗舍婆佛有執事
T0001_001_2380	曰忍行毗舍婆佛有執事弟子名曰寂滅拘樓孫佛
T0001_001_2390	弟子名曰寂滅拘樓孫佛有執事弟子名曰善覺拘
T0001_001_2400	有執事弟子名曰善覺拘那含佛有執事弟子名曰
T0001_001_2410	那含佛有執事弟子名曰安和迦葉佛有執事弟子
T0001_001_2420	安和迦葉佛有執事弟子名曰善友我執事弟子名
T0001_001_2430	名曰善友我執事弟子名曰阿難佛時頌曰無憂與
T0001_001_2440	曰阿難佛時頌曰無憂與忍行寂滅及善覺安和善
T0001_001_2450	忍行寂滅及善覺安和善友等阿難為第七此為佛
T0001_001_2460	友等阿難為第七此為佛侍者具足諸義趣晝夜無
T0001_001_2470	侍者具足諸義趣晝夜無放逸自利亦利他此七賢
T0001_001_2480	放逸自利亦利他此七賢弟子侍七佛左右歡喜而
T0001_001_2490	弟子侍七佛左右歡喜而供養寂然歸滅度毗婆尸
T0001_001_2500	供養寂然歸滅度毗婆尸佛有子名曰方膺尸棄佛
T0001_001_2510	佛有子名曰方膺尸棄佛有子名曰無量毗舍婆佛
T0001_001_2520	有子名曰無量毗舍婆佛有子名曰妙覺拘樓孫佛
T0001_001_2530	有子名曰妙覺拘樓孫佛有子名曰上勝拘那含佛
T0001_001_2540	有子名曰上勝拘那含佛有子名曰導師迦葉佛有
T0001_001_2550	有子名曰導師迦葉佛有子名曰集軍今我有子名
T0001_001_2560	子名曰集軍今我有子名曰羅睺羅佛時頌曰方膺
T0001_001_2570	曰羅睺羅佛時頌曰方膺無量子妙覺及上勝導師
T0001_001_2580	無量子妙覺及上勝導師集軍等羅睺羅第七此諸
T0001_001_2590	集軍等羅睺羅第七此諸豪貴子紹繼諸佛種愛法
T0001_001_2600	豪貴子紹繼諸佛種愛法好施惠於聖法無畏毗婆
T0001_001_2610	好施惠於聖法無畏毗婆尸佛父名槃頭剎利王種
T0001_001_2620	尸佛父名槃頭剎利王種母名槃頭婆提王所治城
T0001_001_2630	母名槃頭婆提王所治城名曰槃頭婆提佛時頌曰
T0001_001_2640	名曰槃頭婆提佛時頌曰遍眼父槃頭母槃頭婆提
T0001_001_2650	遍眼父槃頭母槃頭婆提槃頭婆提城佛於中說法
T0001_001_2660	槃頭婆提城佛於中說法尸棄佛父名曰明相剎利
T0001_001_2670	尸棄佛父名曰明相剎利王種母名光曜王所治城
T0001_001_2680	王種母名光曜王所治城名曰光相佛時頌曰尸棄
T0001_001_2690	名曰光相佛時頌曰尸棄父明相母名曰光曜於明
T0001_001_2700	父明相母名曰光曜於明相城中威德降外敵毗舍
T0001_001_2710	相城中威德降外敵毗舍婆佛父名善燈剎利王種
T0001_001_2720	婆佛父名善燈剎利王種母名稱戒王所治城名曰
T0001_001_2730	母名稱戒王所治城名曰無喻佛時頌曰毗舍婆佛
T0001_001_2740	無喻佛時頌曰毗舍婆佛父善燈剎利種母名曰稱
T0001_001_2750	父善燈剎利種母名曰稱戒城名曰無喻拘樓孫佛
T0001_001_2760	戒城名曰無喻拘樓孫佛父名祀得婆羅門種母名
T0001_001_2770	父名祀得婆羅門種母名善枝王名安和隨王名故
T0001_001_2780	善枝王名安和隨王名故城名安和佛時頌曰祀得
T0001_001_2790	城名安和佛時頌曰祀得婆羅門母名曰善枝王名
T0001_001_2800	婆羅門母名曰善枝王名曰安和居在安和城拘那
T0001_001_2810	曰安和居在安和城拘那含佛父名大德婆羅門種
T0001_001_2820	含佛父名大德婆羅門種母名善勝是時王名清淨
T0001_001_2830	母名善勝是時王名清淨隨王名故城名清淨佛時
T0001_001_2840	隨王名故城名清淨佛時頌曰大德婆羅門母名曰
T0001_001_2850	頌曰大德婆羅門母名曰善勝王名曰清淨居在清
T0001_001_2860	善勝王名曰清淨居在清淨城迦葉佛父名曰梵德
T0001_001_2870	淨城迦葉佛父名曰梵德婆羅門種母名曰財主時
T0001_001_2880	婆羅門種母名曰財主時王名汲毗王所治城名波
T0001_001_2890	王名汲毗王所治城名波羅㮈佛時頌曰梵德婆羅
T0001_001_2900	羅㮈佛時頌曰梵德婆羅門母名曰財主時王名汲
T0001_001_2910	門母名曰財主時王名汲毗在波羅㮈城我父名淨
T0001_001_2920	毗在波羅㮈城我父名淨飯剎利王種母名大清淨
T0001_001_2930	飯剎利王種母名大清淨妙王所治城名迦毗羅衛
T0001_001_2940	妙王所治城名迦毗羅衛佛時頌曰父剎利淨飯母
T0001_001_2950	佛時頌曰父剎利淨飯母名大清淨土廣民豐饒我
T0001_001_2960	名大清淨土廣民豐饒我從彼而生此是諸佛因緣
T0001_001_2970	從彼而生此是諸佛因緣名號種族所出生處何有
T0001_001_2980	名號種族所出生處何有智者聞此因緣而不歡喜
T0001_001_2990	智者聞此因緣而不歡喜起愛樂心爾時世尊告諸
T0001_001_3000	起愛樂心爾時世尊告諸比丘吾今欲以宿命智說
T0001_001_3010	比丘吾今欲以宿命智說過去佛事汝欲聞不諸比
T0001_001_3020	過去佛事汝欲聞不諸比丘對曰今正是時願樂欲
T0001_001_3030	丘對曰今正是時願樂欲聞佛告諸比丘諦聽諦聽
T0001_001_3040	聞佛告諸比丘諦聽諦聽善思念之吾當為汝分別
T0001_001_3050	善思念之吾當為汝分別解說比丘當知諸佛常法
T0001_001_3060	解說比丘當知諸佛常法毗婆尸菩薩從兜率天降
T0001_001_3070	毗婆尸菩薩從兜率天降神母胎從右脇入正念不
T0001_001_3080	神母胎從右脇入正念不亂當於爾時地為震動放
T0001_001_3090	亂當於爾時地為震動放大光明普照世界日月所
T0001_001_3100	大光明普照世界日月所不及處皆蒙大明幽冥眾
T0001_001_3110	不及處皆蒙大明幽冥眾生各相覩見知其所趣時
T0001_001_3120	生各相覩見知其所趣時此光明復照魔宮諸天釋
T0001_001_3130	此光明復照魔宮諸天釋梵沙門婆羅門及餘眾生
T0001_001_3140	梵沙門婆羅門及餘眾生普蒙大明諸天光明自然
T0001_001_3150	普蒙大明諸天光明自然不現佛時頌曰密雲聚虛
T0001_001_3160	不現佛時頌曰密雲聚虛空電光照天下毗婆尸降
T0001_001_3170	空電光照天下毗婆尸降胎光明照亦然日月所不
T0001_001_3180	胎光明照亦然日月所不及莫不蒙大明處胎淨無
T0001_001_3190	及莫不蒙大明處胎淨無穢諸佛法皆然諸比丘當
T0001_001_3200	穢諸佛法皆然諸比丘當知諸佛常法毗婆尸菩薩
T0001_001_3210	知諸佛常法毗婆尸菩薩在母胎時專念不亂有四
T0001_001_3220	在母胎時專念不亂有四天子執戈矛侍護其人人
T0001_001_3230	天子執戈矛侍護其人人與非人不得侵嬈此是常
T0001_001_3240	與非人不得侵嬈此是常法佛時頌曰四方四天子
T0001_001_3250	法佛時頌曰四方四天子有名稱威德天帝釋所遣
T0001_001_3260	有名稱威德天帝釋所遣善守護菩薩手常執戈矛
T0001_001_3270	善守護菩薩手常執戈矛衛護不去離人非人不嬈
T0001_001_3280	衛護不去離人非人不嬈此諸佛常法天神所擁護
T0001_001_3290	此諸佛常法天神所擁護如天女衛天眷屬懷歡喜
T0001_001_3300	如天女衛天眷屬懷歡喜此諸佛常法又告比丘諸
T0001_001_3310	此諸佛常法又告比丘諸佛常法毗婆尸菩薩從兜
T0001_001_3320	佛常法毗婆尸菩薩從兜率天降神母胎專念不亂
T0001_001_3330	率天降神母胎專念不亂母身安隱無眾惱患智慧
T0001_001_3340	母身安隱無眾惱患智慧增益母自觀胎見菩薩身
T0001_001_3350	增益母自觀胎見菩薩身諸根具足如紫磨金無有
T0001_001_3360	諸根具足如紫磨金無有瑕穢猶如有目之士觀淨
T0001_001_3370	瑕穢猶如有目之士觀淨琉璃內外清徹無眾障翳
T0001_001_3380	琉璃內外清徹無眾障翳諸比丘此是諸佛常法爾
T0001_001_3390	諸比丘此是諸佛常法爾時世尊而說偈言如淨琉
T0001_001_3400	時世尊而說偈言如淨琉璃珠其明如日月仁尊處
T0001_001_3410	璃珠其明如日月仁尊處母胎其母無惱患智慧為
T0001_001_3420	母胎其母無惱患智慧為增益觀胎如金像母懷妊
T0001_001_3430	增益觀胎如金像母懷妊安樂此諸佛常法佛告比
T0001_001_3440	安樂此諸佛常法佛告比丘毗婆尸菩薩從兜率天
T0001_001_3450	丘毗婆尸菩薩從兜率天降神母胎專念不亂母心
T0001_001_3460	降神母胎專念不亂母心清淨無眾欲想不為婬火
T0001_001_3470	清淨無眾欲想不為婬火之所燒然此是諸佛常法
T0001_001_3480	之所燒然此是諸佛常法爾時世尊而說偈言菩薩
T0001_001_3490	爾時世尊而說偈言菩薩住母胎天終天福成其母
T0001_001_3500	住母胎天終天福成其母心清淨無有眾欲想捨離
T0001_001_3510	心清淨無有眾欲想捨離諸婬欲不染不親近不為
T0001_001_3520	諸婬欲不染不親近不為欲火燃諸佛母常淨佛告
T0001_001_3530	欲火燃諸佛母常淨佛告比丘諸佛常法毗婆尸菩
T0001_001_3540	比丘諸佛常法毗婆尸菩薩從兜率天降神母胎專
T0001_001_3550	薩從兜率天降神母胎專念不亂其母奉持五戒梵
T0001_001_3560	念不亂其母奉持五戒梵行清淨篤信仁愛諸善成
T0001_001_3570	行清淨篤信仁愛諸善成就安樂無畏身壞命終生
T0001_001_3580	就安樂無畏身壞命終生忉利天此是常法爾時世
T0001_001_3590	忉利天此是常法爾時世尊而說偈言持人中尊身
T0001_001_3600	尊而說偈言持人中尊身精進戒具足後必受天身
T0001_001_3610	精進戒具足後必受天身此緣名佛母佛告比丘諸
T0001_001_3620	此緣名佛母佛告比丘諸佛常法毗婆尸菩薩當其
T0001_001_3630	佛常法毗婆尸菩薩當其生時從右脇出地為震動
T0001_001_3640	生時從右脇出地為震動光明普照始入胎時闇冥
T0001_001_3650	光明普照始入胎時闇冥之處無不蒙明此是常法
T0001_001_3660	之處無不蒙明此是常法爾時世尊而說偈言太子
T0001_001_3670	爾時世尊而說偈言太子生地動大光靡不照此界
T0001_001_3680	生地動大光靡不照此界及餘界上下與諸方放光
