T0002_001_0	如是我聞一時佛在舍衛國祇樹給孤獨園爾時有
T0002_001_850	至二萬如是釋迦佛而出於五濁人壽一百歲爾時
T0002_001_860	於五濁人壽一百歲爾時世尊說此偈已告苾芻眾
T0002_001_870	世尊說此偈已告苾芻眾言汝等諦聽我今復說七
T0002_001_880	言汝等諦聽我今復說七佛如來父母國城種種名
T0002_001_890	佛如來父母國城種種名字毘婆尸佛父名滿度摩
T0002_001_900	字毘婆尸佛父名滿度摩王母名滿度摩帝城亦名
T0002_001_910	王母名滿度摩帝城亦名滿度摩尸棄如來父名阿
T0002_001_920	滿度摩尸棄如來父名阿嚕拏王母同名阿嚕拏城
T0002_001_930	嚕拏王母同名阿嚕拏城名阿嚕嚩帝毘舍浮如來
T0002_001_940	名阿嚕嚩帝毘舍浮如來父名穌鉢囉底都王母名
T0002_001_950	父名穌鉢囉底都王母名鉢囉婆嚩底城名阿努鉢
T0002_001_960	鉢囉婆嚩底城名阿努鉢麼俱留孫佛父名野倪也
T0002_001_970	麼俱留孫佛父名野倪也那多母名尾舍佉王名剎
T0002_001_980	那多母名尾舍佉王名剎謨剎摩城名剎摩俱那含
T0002_001_990	謨剎摩城名剎摩俱那含牟尼佛父名野倪也那覩
T0002_001_1000	牟尼佛父名野倪也那覩母名烏多囉王名輸部城
T0002_001_1010	母名烏多囉王名輸部城名輸婆嚩帝迦葉如來父
T0002_001_1020	名輸婆嚩帝迦葉如來父名穌沒囉賀摩母名沒囉
T0002_001_1030	名穌沒囉賀摩母名沒囉賀摩虞鉢多王名訖里計
T0002_001_1040	賀摩虞鉢多王名訖里計城名波羅奈我今應正等
T0002_001_1050	城名波羅奈我今應正等覺父名淨飯王母名謨訶
T0002_001_1060	覺父名淨飯王母名謨訶摩耶城名迦毘羅爾時世
T0002_001_1070	摩耶城名迦毘羅爾時世尊重說頌曰毘婆尸如來
T0002_001_1080	尊重說頌曰毘婆尸如來彼佛本生處滿度摩為父
T0002_001_1090	彼佛本生處滿度摩為父滿度摩帝母所都大城郭
T0002_001_1100	滿度摩帝母所都大城郭亦名滿度摩時豐國富盛
T0002_001_1110	亦名滿度摩時豐國富盛人民恒快樂尸棄佛世尊
T0002_001_1120	人民恒快樂尸棄佛世尊阿嚕拏王父阿嚕拏嚩帝
T0002_001_1130	阿嚕拏王父阿嚕拏嚩帝是佛母之名所居城同號
T0002_001_1140	是佛母之名所居城同號阿嚕拏嚩帝人民甚熾盛
T0002_001_1150	阿嚕拏嚩帝人民甚熾盛大富常安隱毘舍浮如來
T0002_001_1160	大富常安隱毘舍浮如來父王及母名穌鉢囉帝都
T0002_001_1170	父王及母名穌鉢囉帝都鉢囉婆嚩帝所都之國城
T0002_001_1180	鉢囉婆嚩帝所都之國城名阿努波摩其世亦安隱
T0002_001_1190	名阿努波摩其世亦安隱一切無災害俱留孫世尊
T0002_001_1200	一切無災害俱留孫世尊彼父所立名野倪也那多
T0002_001_1210	彼父所立名野倪也那多尾舍佉為母剎謨剎摩王
T0002_001_1220	尾舍佉為母剎謨剎摩王都彼剎摩城時彼諸眾生
T0002_001_1230	都彼剎摩城時彼諸眾生崇重於賢善俱那含牟尼
T0002_001_1240	崇重於賢善俱那含牟尼野倪也那覩而是父之名
T0002_001_1250	野倪也那覩而是父之名母號烏多囉國王名輸部
T0002_001_1260	母號烏多囉國王名輸部輸婆嚩帝城縱廣多嚴飾
T0002_001_1270	輸婆嚩帝城縱廣多嚴飾有情無諸惱迦葉波佛父
T0002_001_1280	有情無諸惱迦葉波佛父穌沒囉賀摩母立沒囉賀
T0002_001_1290	穌沒囉賀摩母立沒囉賀摩虞鉢多名訖里計國王
T0002_001_1300	摩虞鉢多名訖里計國王都波羅奈城其中諸眾生
T0002_001_1310	都波羅奈城其中諸眾生晝夜常安隱我今所生處
T0002_001_1320	晝夜常安隱我今所生處淨飯王為父摩訶摩耶母
T0002_001_1330	淨飯王為父摩訶摩耶母城名迦毘羅如是正等覺
T0002_001_1340	城名迦毘羅如是正等覺七佛諸如來父母及國城
T0002_001_1350	七佛諸如來父母及國城分別名如是爾時世尊說
T0002_001_1360	分別名如是爾時世尊說此偈已告苾芻眾言汝等
T0002_001_1370	此偈已告苾芻眾言汝等諦聽我今復說七佛如來
T0002_001_1380	諦聽我今復說七佛如來聲聞弟子毘婆尸如來應
T0002_001_1390	聲聞弟子毘婆尸如來應正等覺大智弟子名欠拏
T0002_001_1400	正等覺大智弟子名欠拏底寫聲聞中第一尸棄如
T0002_001_1410	底寫聲聞中第一尸棄如來應正等覺大智弟子名
T0002_001_1420	來應正等覺大智弟子名部三婆嚩聲聞中第一毘
T0002_001_1430	部三婆嚩聲聞中第一毘舍浮如來應正等覺大智
T0002_001_1440	舍浮如來應正等覺大智弟子名野輸多囉聲聞中
T0002_001_1450	弟子名野輸多囉聲聞中第一俱留孫如來應正等
T0002_001_1460	第一俱留孫如來應正等覺大智弟子名散𡁠嚩聲
T0002_001_1470	覺大智弟子名散𡁠嚩聲聞中第一俱那含牟尼如
T0002_001_1480	聞中第一俱那含牟尼如來應正等覺大智弟子名
T0002_001_1490	來應正等覺大智弟子名穌嚕努多囉聲聞中第一
T0002_001_1500	穌嚕努多囉聲聞中第一迦葉波如來應正等覺大
T0002_001_1510	迦葉波如來應正等覺大智弟子名婆囉特嚩惹聲
T0002_001_1520	智弟子名婆囉特嚩惹聲聞中第一我今應正等覺
T0002_001_1530	聞中第一我今應正等覺大智弟子名舍利弗聲聞
T0002_001_1540	大智弟子名舍利弗聲聞中第一爾時世尊重說頌
T0002_001_1550	中第一爾時世尊重說頌曰毘婆尸如來有大智慧
T0002_001_1560	曰毘婆尸如來有大智慧子名欠拏底寫尸棄佛世
T0002_001_1570	子名欠拏底寫尸棄佛世尊有大智慧子名部三婆
T0002_001_1580	尊有大智慧子名部三婆嚩毘舍浮如來有大智慧
T0002_001_1590	嚩毘舍浮如來有大智慧子名野輸多囉俱留孫如
T0002_001_1600	子名野輸多囉俱留孫如來有大智慧子名曰散𡁠
T0002_001_1610	來有大智慧子名曰散𡁠嚩俱那含牟尼有大智慧
T0002_001_1620	嚩俱那含牟尼有大智慧子穌嚕努多囉迦葉佛世
T0002_001_1630	子穌嚕努多囉迦葉佛世尊有大智慧子婆囉特嚩
T0002_001_1640	尊有大智慧子婆囉特嚩惹我今應正覺有大智慧
T0002_001_1650	惹我今應正覺有大智慧子名曰舍利弗如是七佛
T0002_001_1660	子名曰舍利弗如是七佛子於諸聲聞中各各為第
T0002_001_1670	子於諸聲聞中各各為第一爾時世尊說此偈已告
T0002_001_1680	一爾時世尊說此偈已告苾芻眾言汝等諦聽我今
T0002_001_1690	苾芻眾言汝等諦聽我今復說七佛如來侍者弟子
T0002_001_1700	復說七佛如來侍者弟子毘婆尸如來應正等覺侍
T0002_001_1710	毘婆尸如來應正等覺侍者名阿輸迦尸棄如來應
T0002_001_1720	者名阿輸迦尸棄如來應正等覺侍者名剎摩迦嚕
T0002_001_1730	正等覺侍者名剎摩迦嚕毘舍浮佛應正等覺侍者
T0002_001_1740	毘舍浮佛應正等覺侍者名烏波扇覩俱留孫佛應
T0002_001_1750	名烏波扇覩俱留孫佛應正等覺侍者名沒提踰俱
T0002_001_1760	正等覺侍者名沒提踰俱那含牟尼佛應正等覺侍
T0002_001_1770	那含牟尼佛應正等覺侍者名穌嚕帝里野迦葉如
T0002_001_1780	者名穌嚕帝里野迦葉如來應正等覺侍者名薩里
T0002_001_1790	來應正等覺侍者名薩里嚩蜜怛囉我今應正等覺
T0002_001_1800	嚩蜜怛囉我今應正等覺侍者名阿難陀爾時世尊
T0002_001_1810	侍者名阿難陀爾時世尊重說頌曰佛子阿輸迦剎
T0002_001_1820	重說頌曰佛子阿輸迦剎摩迦嚕等并烏波扇覩沒
T0002_001_1830	摩迦嚕等并烏波扇覩沒提踰之者穌嚕帝里野薩
T0002_001_1840	提踰之者穌嚕帝里野薩嚩蜜怛囉及彼阿難陀皆
T0002_001_1850	嚩蜜怛囉及彼阿難陀皆為佛侍者常行慈悲心成
T0002_001_1860	為佛侍者常行慈悲心成就三摩地通達諸法相具
T0002_001_1870	就三摩地通達諸法相具足大智慧多聞而聰敏為
T0002_001_1880	足大智慧多聞而聰敏為大法之師眾中居第一名
T0002_001_1890	大法之師眾中居第一名聞於十方人天皆歸敬精
T0002_001_1900	聞於十方人天皆歸敬精進力堅固斷盡諸煩惱而
T0002_001_1910	進力堅固斷盡諸煩惱而證無生滅承侍佛世尊恒
T0002_001_1920	證無生滅承侍佛世尊恒獲於己利如是諸如來成
T0002_001_1930	獲於己利如是諸如來成就真佛子爾時世尊說此
T0002_001_1940	就真佛子爾時世尊說此偈已告苾芻眾言汝等諦
T0002_001_1950	偈已告苾芻眾言汝等諦聽我今復說七佛如來所
T0002_001_1960	聽我今復說七佛如來所度聲聞之眾毘婆尸如來
T0002_001_1970	度聲聞之眾毘婆尸如來第一會說法有六萬二千
T0002_001_1980	第一會說法有六萬二千苾芻得阿羅漢果第二會
T0002_001_1990	苾芻得阿羅漢果第二會說法有十萬苾芻得阿羅
T0002_001_2000	說法有十萬苾芻得阿羅漢果第三會說法有八萬
T0002_001_2010	漢果第三會說法有八萬苾芻得阿羅漢果尸棄如
T0002_001_2020	苾芻得阿羅漢果尸棄如來第一會說法十萬苾芻
T0002_001_2030	來第一會說法十萬苾芻得阿羅漢果第二會說法
T0002_001_2040	得阿羅漢果第二會說法八十億苾芻得阿羅漢果
T0002_001_2050	八十億苾芻得阿羅漢果第三會說法七萬苾芻得
T0002_001_2060	第三會說法七萬苾芻得阿羅漢果毘舍浮如來第
T0002_001_2070	阿羅漢果毘舍浮如來第一會說法八萬苾芻得阿
T0002_001_2080	一會說法八萬苾芻得阿羅漢果第二會說法七萬
T0002_001_2090	羅漢果第二會說法七萬苾芻得阿羅漢果第三會
T0002_001_2100	苾芻得阿羅漢果第三會說法六萬苾芻得阿羅漢
T0002_001_2110	說法六萬苾芻得阿羅漢果俱留孫如來一會說法
T0002_001_2120	果俱留孫如來一會說法四萬苾芻得阿羅漢俱那
T0002_001_2130	四萬苾芻得阿羅漢俱那含牟尼佛一會說法三萬
T0002_001_2140	含牟尼佛一會說法三萬苾芻得阿羅漢果迦葉如
T0002_001_2150	苾芻得阿羅漢果迦葉如來一會說法二萬苾芻得
T0002_001_2160	來一會說法二萬苾芻得阿羅漢果我今一會說法
T0002_001_2170	阿羅漢果我今一會說法一千二百五十苾芻得阿
T0002_001_2180	一千二百五十苾芻得阿羅漢果爾時世尊重說頌
T0002_001_2190	羅漢果爾時世尊重說頌曰毘婆尸如來尸棄毘舍
T0002_001_2200	曰毘婆尸如來尸棄毘舍浮俱留孫世尊俱那含迦
T0002_001_2210	浮俱留孫世尊俱那含迦葉并釋迦牟尼各各出世
T0002_001_2220	葉并釋迦牟尼各各出世時所度聲聞眾數有七十
T0002_001_2230	時所度聲聞眾數有七十億九萬餘三千二百五十
T0002_001_2240	億九萬餘三千二百五十人皆得阿羅漢不受於後
T0002_001_2250	人皆得阿羅漢不受於後有爾時世尊說此偈已告
T0002_001_2260	有爾時世尊說此偈已告苾芻眾言汝等諦聽毗婆
T0002_001_2270	苾芻眾言汝等諦聽毗婆尸佛尸棄佛毘舍浮佛乃
T0002_001_2280	尸佛尸棄佛毘舍浮佛乃至我今出現世間住持教
T0002_001_2290	至我今出現世間住持教化宣說法教調伏有情戒
T0002_001_2300	化宣說法教調伏有情戒行儀範受持衣鉢求證菩
T0002_001_2310	行儀範受持衣鉢求證菩提無有少法而各別異爾
T0002_001_2320	提無有少法而各別異爾時世尊而說頌曰如是過
T0002_001_2330	時世尊而說頌曰如是過現劫毗婆尸等佛所度眾
T0002_001_2340	現劫毗婆尸等佛所度眾苾芻成就大智慧勤修於
T0002_001_2350	苾芻成就大智慧勤修於正道菩提之分法五根與
T0002_001_2360	正道菩提之分法五根與五力四念四神足七覺八
T0002_001_2370	五力四念四神足七覺八聖支及彼三摩地寂靜眼
T0002_001_2380	聖支及彼三摩地寂靜眼等根通達於法藏開悟諸
T0002_001_2390	等根通達於法藏開悟諸群生增長於慧命如是賢
T0002_001_2400	群生增長於慧命如是賢劫中皆嘆未曾有佛以大
T0002_001_2410	劫中皆嘆未曾有佛以大悲智自覺覺於他威德大
T0002_001_2420	悲智自覺覺於他威德大神通所說皆如是爾時世
T0002_001_2430	神通所說皆如是爾時世尊說此偈已與諸苾芻即
T0002_001_2440	尊說此偈已與諸苾芻即從座起還給孤獨園過是
T0002_001_2450	從座起還給孤獨園過是夜已至平旦時諸苾芻眾
T0002_001_2460	夜已至平旦時諸苾芻眾從其本舍往迦里梨道場
T0002_001_2470	從其本舍往迦里梨道場互相推問過去如來入大
T0002_001_2480	互相推問過去如來入大涅槃離諸戲論永斷輪迴
T0002_001_2490	涅槃離諸戲論永斷輪迴而無過失如是大丈夫有
T0002_001_2500	而無過失如是大丈夫有如是智慧如是持戒如是
T0002_001_2510	如是智慧如是持戒如是三摩地如是解脫如是威
T0002_001_2520	三摩地如是解脫如是威德如是種族降世利生甚
T0002_001_2530	德如是種族降世利生甚為希有不可思議爾時世
T0002_001_2540	為希有不可思議爾時世尊知諸苾芻心之所念從
T0002_001_2550	尊知諸苾芻心之所念從座而起詣迦里梨道場結
T0002_001_2560	座而起詣迦里梨道場結跏趺坐告苾芻眾言於意
T0002_001_2570	跏趺坐告苾芻眾言於意云何時諸苾芻白世尊言
T0002_001_2580	云何時諸苾芻白世尊言我等聞說過去如來入大
T0002_001_2590	我等聞說過去如來入大涅槃離諸戲論永斷輪迴
T0002_001_2600	涅槃離諸戲論永斷輪迴而無過失如是大丈夫有
T0002_001_2610	而無過失如是大丈夫有如是智慧如是持戒如是
T0002_001_2620	如是智慧如是持戒如是三摩地如是解脫如是威
T0002_001_2630	三摩地如是解脫如是威德如是種族降世利生甚
T0002_001_2640	德如是種族降世利生甚為希有不可思議佛言苾
T0002_001_2650	為希有不可思議佛言苾芻汝今所說何以故苾芻
T0002_001_2660	芻汝今所說何以故苾芻白言佛有清淨法界證真
T0002_001_2670	白言佛有清淨法界證真覺智無不了知願為解說
T0002_001_2680	覺智無不了知願為解說佛言苾芻汝等諦聽我今
T0002_001_2690	佛言苾芻汝等諦聽我今說之於過去世有大國王
T0002_001_2700	說之於過去世有大國王名滿度摩彼王妃后名滿
T0002_001_2710	名滿度摩彼王妃后名滿度摩帝爾時毗婆尸佛從
T0002_001_2720	度摩帝爾時毗婆尸佛從兜率天降下閻浮入於母
T0002_001_2730	兜率天降下閻浮入於母腹住胎藏中放大光明照
T0002_001_2740	腹住胎藏中放大光明照諸世間無有幽暗而諸惡
T0002_001_2750	諸世間無有幽暗而諸惡趣一切地獄日月威光亦
T0002_001_2760	趣一切地獄日月威光亦不能照佛光所及忽得大
T0002_001_2770	不能照佛光所及忽得大明而彼有情互得相見即
T0002_001_2780	明而彼有情互得相見即發聲言何故此間有別眾
T0002_001_2790	發聲言何故此間有別眾生爾時世尊而說頌曰菩
T0002_001_2800	生爾時世尊而說頌曰菩薩從兜率下降閻浮時如
T0002_001_2810	薩從兜率下降閻浮時如雲亦如風須臾至母腹身
T0002_001_2820	雲亦如風須臾至母腹身放大光明照耀人天界地
T0002_001_2830	放大光明照耀人天界地獄鐵圍山皆悉無幽暗佛
T0002_001_2840	獄鐵圍山皆悉無幽暗佛剎眾境界隨住於母身如
T0002_001_2850	剎眾境界隨住於母身如是大仙眾亦來俱集會爾
T0002_001_2860	是大仙眾亦來俱集會爾時世尊說此偈已告苾芻
T0002_001_2870	時世尊說此偈已告苾芻眾言汝今諦聽彼菩薩摩
T0002_001_2880	眾言汝今諦聽彼菩薩摩訶薩從兜率天下降閻浮
T0002_001_2890	訶薩從兜率天下降閻浮入母胎時部摩夜叉高聲
T0002_001_2900	入母胎時部摩夜叉高聲唱言此大菩薩大威德大
T0002_001_2910	唱言此大菩薩大威德大丈夫捨天人身及阿修羅
T0002_001_2920	丈夫捨天人身及阿修羅身處彼母胎而受人身如
T0002_001_2930	身處彼母胎而受人身如是四天王天忉利天夜摩
T0002_001_2940	是四天王天忉利天夜摩天乃至梵輔等天聞此唱
T0002_001_2950	天乃至梵輔等天聞此唱言菩薩降神處母胎中皆
T0002_001_2960	言菩薩降神處母胎中皆悉來集爾時世尊而說頌
T0002_001_2970	悉來集爾時世尊而說頌曰菩薩從兜率降神母胎
T0002_001_2980	曰菩薩從兜率降神母胎時部摩大夜叉唱言彼菩
T0002_001_2990	時部摩大夜叉唱言彼菩薩棄捨天中身及於修羅
T0002_001_3000	薩棄捨天中身及於修羅質處此母胎中即受人世
T0002_001_3010	質處此母胎中即受人世報四王忉利天夜摩及兜
T0002_001_3020	報四王忉利天夜摩及兜率乃至於梵世皆悉聞斯
T0002_001_3030	率乃至於梵世皆悉聞斯事菩薩降人間微妙真金
T0002_001_3040	事菩薩降人間微妙真金色諸天悉來集心懷大喜
T0002_001_3050	色諸天悉來集心懷大喜慶爾時世尊說此偈已告
T0002_001_3060	慶爾時世尊說此偈已告苾芻眾言汝今諦聽彼菩
T0002_001_3070	苾芻眾言汝今諦聽彼菩薩摩訶薩從兜率天降閻
T0002_001_3080	薩摩訶薩從兜率天降閻浮時有四大天子威德具
T0002_001_3090	浮時有四大天子威德具足身被甲冑手執弓刀擁
T0002_001_3100	足身被甲冑手執弓刀擁護菩薩人非人等皆不侵
T0002_001_3110	護菩薩人非人等皆不侵害爾時世尊而說頌曰菩
T0002_001_3120	害爾時世尊而說頌曰菩薩降生時忉利天帝釋遣
T0002_001_3130	薩降生時忉利天帝釋遣彼四天王各具大威力身
T0002_001_3140	彼四天王各具大威力身被金甲冑手執弓刀槍恒
T0002_001_3150	被金甲冑手執弓刀槍恒時常衛護羅剎非人等不
T0002_001_3160	時常衛護羅剎非人等不敢作惱害安住母腹中如
T0002_001_3170	敢作惱害安住母腹中如處大宮殿恒受諸快樂爾
T0002_001_3180	處大宮殿恒受諸快樂爾時世尊說此偈已告苾芻
T0002_001_3190	時世尊說此偈已告苾芻言汝今諦聽彼菩薩摩訶
T0002_001_3200	言汝今諦聽彼菩薩摩訶薩從兜率天下降閻浮處
T0002_001_3210	薩從兜率天下降閻浮處母胎時其身清淨光明照
T0002_001_3220	母胎時其身清淨光明照耀如摩尼珠母心安隱無
T0002_001_3230	耀如摩尼珠母心安隱無諸熱惱爾時世尊而說頌
T0002_001_3240	諸熱惱爾時世尊而說頌曰菩薩處胎時清淨無瑕
T0002_001_3250	曰菩薩處胎時清淨無瑕穢猶如琉璃珠亦如摩尼
T0002_001_3260	穢猶如琉璃珠亦如摩尼寶光明照世間如日出雲
T0002_001_3270	寶光明照世間如日出雲翳成就第一義出生最上
T0002_001_3280	翳成就第一義出生最上智令母無憂惱恒行眾善
T0002_001_3290	智令母無憂惱恒行眾善業有情皆歸仰安處剎帝
T0002_001_3300	業有情皆歸仰安處剎帝利爾時世尊說此偈已告
T0002_001_3310	利爾時世尊說此偈已告苾芻眾言汝今諦聽彼菩
T0002_001_3320	苾芻眾言汝今諦聽彼菩薩摩訶薩從兜率天下降
T0002_001_3330	薩摩訶薩從兜率天下降閻浮處母胎時未曾得聞
T0002_001_3340	閻浮處母胎時未曾得聞母有染欲色等五塵而無
T0002_001_3350	母有染欲色等五塵而無所著爾時世尊而說頌曰
T0002_001_3360	所著爾時世尊而說頌曰菩薩處胎時令母心清淨
T0002_001_3370	菩薩處胎時令母心清淨不聞染污名遠離五欲過
T0002_001_3380	不聞染污名遠離五欲過斷除貪愛根不受諸苦惱
T0002_001_3390	斷除貪愛根不受諸苦惱身心恒安隱常得於快樂
T0002_001_3400	身心恒安隱常得於快樂爾時世尊說此偈已告苾
T0002_001_3410	爾時世尊說此偈已告苾芻眾言汝今諦聽彼菩薩
T0002_001_3420	芻眾言汝今諦聽彼菩薩摩訶薩從兜率天下降閻
T0002_001_3430	摩訶薩從兜率天下降閻浮處母胎時母自受持近
T0002_001_3440	浮處母胎時母自受持近事五戒一不殺生二不偷
T0002_001_3450	事五戒一不殺生二不偷盜三不婬欲四不妄語五
T0002_001_3460	盜三不婬欲四不妄語五不飲酒於其右脇誕生菩
T0002_001_3470	不飲酒於其右脇誕生菩薩母後命終生天界中爾
T0002_001_3480	薩母後命終生天界中爾時世尊而說頌曰菩薩處
T0002_001_3490	時世尊而說頌曰菩薩處胎中母自持五戒右脇生
T0002_001_3500	胎中母自持五戒右脇生童子無彼諸苦惱譬如天
T0002_001_3510	童子無彼諸苦惱譬如天帝釋受妙五欲樂於後命
T0002_001_3520	帝釋受妙五欲樂於後命終時速得生天上爾時世
T0002_001_3530	終時速得生天上爾時世尊說此偈已告苾芻眾言
T0002_001_3540	尊說此偈已告苾芻眾言汝今諦聽彼菩薩摩訶薩
T0002_001_3550	汝今諦聽彼菩薩摩訶薩右脇生時大地震動身真
T0002_001_3560	右脇生時大地震動身真金色離諸垢染放大光明
T0002_001_3570	金色離諸垢染放大光明普照世間一切境界所有
T0002_001_3580	普照世間一切境界所有惡趣黑暗地獄忽然大明
T0002_001_3590	惡趣黑暗地獄忽然大明彼中眾生互得相見各各
T0002_001_3600	彼中眾生互得相見各各疑云何故此間有別眾生
T0002_001_3610	疑云何故此間有別眾生爾時世尊而說頌曰菩薩
