T1799_001_0001	首楞嚴經疏序大佛頂密因了義首楞嚴經者乃竺乾之洪範法苑之寶典也
T1799_001_0122	觀行速成文云方便易成就為趣又以前趣為宗令惑業消滅三緣斷故三因不生
T1799_001_0123	永絕輪迴若得妙發三摩提者則妙常寂有無二無無二亦滅
T1799_001_0124	起大神用不須天眼自然觀見等安樂身心快然獲大安隱自在一為無量小中現大等為趣別有五對一教義二事理三境行四行寂五寂用
T1799_001_0125	皆初宗後趣此五亦是從前起後漸漸相由也若以要言之不出解行修證
T1799_001_0126	初解如來藏為宗行首楞嚴為趣謂佛許示真修却約心見徵解故次修此真定為宗證彼藏體為趣
T1799_001_0127	故下請云雖獲大宅要因門入等七教迹前後者佛說此經非謂一時頓說說必前後
T1799_001_0128	集者約類總為一部謂佛初說匿王在座敘外致疑破彼斷見後至阿難疑問七趣舉瑠璃王誅釋種姓善星比丘妄說法空二俱生身陷入地獄瑠璃豈非匿王之子
T1799_001_0129	王死為嗣方誅瞿曇族姓豈有事之未形而預致問耶
T1799_001_0130	故知此經非一時說若以文義往定即法華後涅槃前也
T1799_001_0131	經文明指耶輸受記持地證經以義往推序歎聲聞非約小行應身無量度脫眾生法華已前無此歎故
T1799_001_0132	聲聞入實法華已前亦無顯露今經有故各說圓通
T1799_001_0133	諸小乘者皆敘本時或述今遇盡證圓妙法華前無應知在後
T1799_001_0134	然又不唱入滅之期定涅槃前二經同部此經居中俱醍醐味無所疑也
T1799_001_0135	八傳譯時年下云大唐神龍元年乙巳歲五月二十三日中天竺沙門般剌蜜帝於廣州制止道場譯
T1799_001_0136	先是三藏將梵本汎海達廣州制止寺遇宰相房融知南銓聞有此經遂請對譯房融筆受
T1799_001_0137	烏長國沙門彌伽釋迦譯語翻經纔竟三藏被本國來取奉王嚴制先不許出三藏潛來邊境被責為解此難遂即去迴房融入奏
T1799_001_0138	又遇中宗初嗣未暇宣布目錄闕書時禪學者因內道場得本傳寫好而祕之遂流此地
T1799_001_0139	大通在內親遇奏經又寫隨身歸荊州度門寺有魏北舘陶沙門惠振搜訪靈迹常慕此經於度門寺遂遇此本初得科判又據開元中沙門智昇撰釋教目錄二十卷
T1799_001_0140	其第九云大佛頂首楞嚴經十卷大唐沙門懷迪於廣州譯迪循州人住羅浮山南樓寺久習經論備諳五梵因遊廣府遂遇梵僧未詳其名對文共譯勒成十卷經之題目紙數文句與今融本竝不差異
T1799_001_0141	迪筆受經旨緝綴文理等今詳二經譯人雖別譯本是同或恐迪因證義各據流行故今目錄書寫有異
T1799_001_0142	不爾豈無一處差別譯主名字何得未詳耶二本既同今解融本九通釋名題者
T1799_001_0143	大佛頂如來密因修證了義諸菩薩萬行首楞嚴經經有五名題目三號者謂該教行人理因果顯密悉具足故
T1799_001_0144	先略配者上之三字是總即一經法體總含教理行果教行明指理果
T1799_001_0145	義含明指者文云有三摩提名大佛頂此指行也又云雖蒙如來佛頂神呪又云亦說此呪名如來頂此指教也
T1799_001_0146	教有顯密顯了宣示令悟修無妄即前後諸文祕密受持令障盡功著即是呪辭義
T1799_001_0147	含者寂照含空故名為大性覺妙明等故名為佛此顯理也
T1799_001_0148	我以不滅不生合如來藏周遍法界等故名大明極即如來等故名佛
T1799_001_0149	此顯果也頂者至極無上之義也若以此三字全約理說藏體周遍無不含容
T1799_001_0150	曰大即體大靈照不昧離諸妄想曰佛佛有二義一自性顯照義即相大二隨緣現益義即用大
T1799_001_0151	此大及佛是至尊至極無上無過諸佛所師之法故名為頂
T1799_001_0152	三大之義不離一心故名一心為大佛頂如來下別顯勝能
T1799_001_0153	初八字約果人自行修證說教利他以別顯即十方如來依此法門修因證果顯了宣說究竟利他也
T1799_001_0154	諸菩薩下八字約因人修習具足自他諸行以別顯菩薩行門自利利他廣多無量此之真定咸具足故
T1799_001_0155	文殊歎云此是微塵佛一路涅槃門等次廣釋者大者當體得名常遍為義
T1799_001_0156	當體者不同法相宗棟小名大大外有小可揀猶是分限豈為至大
T1799_001_0157	今以藏體性無邊涯絕諸分量強名為大常遍者常則竪窮三世遍則橫該十方
T1799_001_0158	竪者過去無始未來無終無有一法先之唯此先於諸法故名大也
T1799_001_0159	涅槃云所言大者名之為常橫者十方窮之無有涯畔
T1799_001_0160	涅槃又云所言大者其性廣博今經常遍廣有其文仍具三義如下可見佛頂者究竟覺也覺有二義一本二始
T1799_001_0161	本謂藏體靈鑒無昧絕諸妄想具足無量性功德故起信云所言覺義者謂心體離念
T1799_001_0162	離念相者等虛空界無所不遍法界一相即是如來平等法身依此法身說名本覺
T1799_001_0163	始覺義者依本覺故而有不覺依不覺故而有始覺
T1799_001_0164	始覺是用本覺是體用合體時始本不二名究竟覺
T1799_001_0165	究竟覺者即前藏性顯現時也無上最極名之為頂此約果位以顯法體名佛頂也
T1799_001_0166	若約現事即今佛頂放光化佛所說教行是故教行俱號佛頂也
T1799_001_0167	如來者如謂本覺來謂始覺始本合故名為如來此指一佛即該諸佛
T1799_001_0168	下說教行俱約諸佛以顯同故密因者有二一教二行
T1799_001_0169	教者下說心呪是佛密語唯佛與佛乃能知之不通他解但信而受之思而持之滅障成德也
T1799_001_0170	行者以此真定具空假中即是一心非縱橫竝別不可思議具足萬行三世諸佛同此法門此行成時名三祕藏是故稱密
T1799_001_0171	修謂行因證謂克果地前地上緣真二種俱名為修
T1799_001_0172	初地妙覺分滿二果同名為證所修所證俱大佛頂此自行也
T1799_001_0173	如觀音圓通了義者說教化他詮表義理無有覆相窮理盡性稱實談故
T1799_001_0174	下文云宣勝義中真勝義性令汝會中定性聲聞皆獲一乘寂滅場地非有餘說故名了義
T1799_001_0175	諸菩薩萬行者三世因人各修其行自利利他有無量義今舉大數故名萬也
T1799_001_0176	此之三昧具斯多義故下文云有三摩提名大佛頂首楞嚴王具足萬行等
T1799_001_0177	首楞嚴者梵語也涅槃云首楞者名一切事竟嚴者名堅即一切事究竟堅固也
T1799_001_0178	得此三昧觀法如幻於法自在能破最後微細無明能獲二種殊勝之力
T1799_001_0179	現身說法無礙自在故下經中名為如幻金剛王佛母妙蓮華等
T1799_001_0180	此三昧以無分別智寂用為體以一切法皆同智性窮盡法界更無遺餘名一切事
T1799_001_0181	究竟一切事言無離染淨此智現時染淨都盡一法不立
T1799_001_0182	又染法究竟盡淨用究竟顯如下文云我以不滅不生合如來藏而如來藏唯妙覺明圓照法界是故一為無量等
T1799_001_0183	又云塵垢應念消成圓明淨妙等既觀如幻不為物壞能破無明故名堅固
T1799_001_0184	經者訓法訓常是貫是攝謂依此言說詮顯性相令物生解故稱為法
T1799_001_0185	一切諸佛皆同此說故名為常能令義理無有散失名之為貫以此化生令不顛墜稱之為攝
T1799_001_0186	若約所詮如來藏體說名經者亦具四義謂此心性諸佛所師可軌可則故名為法不生不滅無有變異故名為常
T1799_001_0187	上聖下凡情與非情無不同此故說為貫具諸功德遍含染淨故稱為攝心性既爾一切法亦然
T1799_001_0188	故下文云五陰六入生滅去來本如來藏故一切法任運有四義悉名為經
T1799_001_0189	一名中印度那爛陀大道場經於灌頂部錄出別行此別目也
T1799_001_0190	印度月名具云印特伽此云月邦以此大國形諸小國如星中月彼有五印此當中也即一境之都名
T1799_001_0191	此境之中有多國別最尊大者號摩竭提此云大體以總攝故或云不害皆義翻也
T1799_001_0192	那爛陀此云施無厭即龍名也西域記云菴沒羅國有池池中有龍名施無厭
T1799_001_0193	寺近彼池故以標號大道場者沙門體心修道之地也
T1799_001_0194	佛滅度後六帝緝興遐疎紺宇園林普合都建一門主客萬僧住持增峻印度名寺莫先於此故名曰大
T1799_001_0195	灌頂部者彼有五部此當其一毘盧為主既標部處尋檢可憑無謂近翻疑非正說
T1799_001_0196	大唐神龍元年龍集乙巳五月巳卯朔二十三日辛丑長安三年則天罷政中宗嗣位是歲改為神龍元年
T1799_001_0197	龍集者龍星亦曰歲星歲行一次也集居也乙巳即所舍之次朔蘇也月死復蘇蘇生也
T1799_001_0198	中天竺沙門般剌蜜帝於廣州制止道場譯天竺亦云乾竺乾豆身毒印度等
T1799_001_0199	沙門云勤息取生善滅惡之稱般剌蜜帝此云到彼岸
T1799_001_0200	譯者其有才智通四方語名曰象胥之學四方各有其名今取北方掌語者也
T1799_001_0201	菩薩戒弟子前正諫大夫同中書門下平章事清河房融筆授雖為宰官而受大乘戒者
T1799_001_0202	經云欲受國王位時乃至百官受位時應先受菩薩戒一切鬼神救護王身百官之身也資於師長以父兄之道事之故云弟子
T1799_001_0203	正諫者今之諫議也舉賢達能大扶進人故曰大夫
T1799_001_0204	中書門下二省之名平和章明國政之事曰平章事筆授或云筆受謂以此方文體筆其所授梵本緝綴潤色令順物情不失正理也
T1799_001_0205	烏長國沙門彌伽釋迦譯語國名未詳彌伽釋迦此云能降伏
T1799_001_0206	翻梵為華故云譯語其中證義應有別錄餘如翻譯時年中說此下第十別解文義
T1799_001_0207	准常三分謂序正流通序中二證信發起證信之立由阿難問佛令置之意為斷疑息諍及異邪故
T1799_001_0208	然此雖具六種成就今均廣略總分為二初說經時處二引眾同聞
T1799_001_0209	今初也如是若兼我聞合釋即指法之辭也如是之法我從佛聞
T1799_001_0210	佛地論云謂結集時眾共請言如汝所聞當如是說
T1799_001_0211	傳法菩薩便許可言如是當說如我所聞離釋如是者信成就也
T1799_001_0212	智度論云佛法大海信為能入智為能度信者言是事如是不信者言是事不如是
T1799_001_0213	肇公亦云信順之辭也信則所言之理順順則師資之道成故萬行中以信為首故云如是
T1799_001_0214	又契理契機曰如永離過非曰是如理而說如理而信故言如是
T1799_001_0215	若約今經如來藏心體性不動曰如真實義故曰是
T1799_001_0216	又一切諸法本無生滅皆如來藏故名為如離一切相即一切法故稱為是
T1799_001_0217	更有餘義繁而不論我聞聞成就也我即阿難自指五蘊假者然一切法佛說無我
T1799_001_0218	今稱我者我有四種一凡夫遍計二外道宗計三諸聖隨世假立賓主四法身真我經指後二非邪慢心而有所說故無過矣
T1799_001_0219	聞謂耳根發識聽受雖因耳處廢別從總故稱我聞
T1799_001_0220	無相宗說我既無我聞亦無聞從緣生故不壞假名即不聞聞也
T1799_001_0221	若約法性此經旨趣傳法菩薩以我無我不二之真我根境非一異之妙耳聞真俗無礙之法門
T1799_001_0222	一時時成就也師資合會說聽究竟總言一時一者揀異餘時
T1799_001_0223	時者隨世假立如來說經有無量時不能別舉一言略周但言一時
T1799_001_0224	涅槃經云一時在恒河岸等又諸方時分延促不定故但言一時
T1799_001_0225	若約法義釋者即說聽之時心境泯理智融凡聖如本始會此諸二法皆一之時
T1799_001_0226	佛主成就也具云佛陀此云覺者謂覺了真妄性相之者即究竟覺也
T1799_001_0227	論云以覺心源故名究竟覺未覺心源故非究竟覺
T1799_001_0228	然具三義一自覺覺知自心本無生滅二覺他覺一切法無不是如三覺滿二覺理圓稱之為滿
T1799_001_0229	佛地論中具有十義謂具一切智一切種智出煩惱障及所知障覺了一切諸法性相能自開覺亦能開覺一切有情如睡夢覺如蓮華開故稱為佛
T1799_001_0230	在室羅筏城祇桓精舍處成就也處有二種一所化處即伐城二所住處即祇園具云
T1799_001_0231	室羅伐悉底此云豐德或云聞物或云好道此乃城名非是國號以其城中多財物好欲境饒多聞豐解脫道德名稱五天共聞故
T1799_001_0232	或云聞者城昔有老仙於此修道後有少仙從其受學厥號聞者老仙歿後少仙於此建城而住故以名焉
T1799_001_0233	國都號為憍薩羅但以就勝易彰故舉城號祇桓者具云祇陀或云逝
T1799_001_0234	多制多此云戰勝即太子名林主是彼故云勝林桓即林也
T1799_001_0235	精舍者即沙門精行所舍處也謂須達買園置舍太子捨樹造門二人共搆以延僧佛
T1799_001_0236	二引眾同聞者同聞之眾匪唯三乘亦該諸趣下具天龍八部王臣菩薩發起序中今文但有二類蓋譯之巧略也
T1799_001_0237	文二一聲聞二緣覺初文三一標類舉數與大比丘眾標類也
T1799_001_0238	與者并兼共及也佛與阿難及大比丘等證非虛謬
T1799_001_0239	梵云摩訶此具三義謂大多勝也器量尊重為天王大人之所恭敬故云大
T1799_001_0240	遍知內外經書故言多勝出九十五種外道故言勝比丘名含三義乞士怖魔破惡
T1799_001_0241	謂出家者上於諸佛求法以內資令慧命增長下於檀越離邪正命乞食以外資令色身無損故云乞士
T1799_001_0242	又出家者最初發出家心或菩提心或至成道皆令魔怖失人眾故名為怖魔
T1799_001_0243	又能破斷身口七支九十八使業煩惱故稱為破惡
T1799_001_0244	四人已上乃至無量能作說恣羯磨法故名為眾矣千二百五十人俱舉數也
T1799_001_0245	佛初成道先度陳如等五人次度三迦葉兄弟兼徒總一千
T1799_001_0246	次度舍利弗目連各兼徒一百次度耶舍長者等五十人經舉大數故減五人
T1799_001_0247	此眾先竝事外勤苦累劫一無所證纔遇見佛便得上果感佛恩深常隨佛化為常隨眾也
T1799_001_0248	二總嘆行德皆是無漏大阿羅漢總指也漏有三種皆斷盡故
T1799_001_0249	阿羅漢名含三義故翻為應應已永害煩惱賊故應不受分段生故應受人天妙供養故
T1799_001_0250	此皆無疑故名為大已下別嘆佛子住持善超諸有從佛口生從法化生得佛法分堪紹佛種故云佛子安住覺性
T1799_001_0251	三德祕藏任持萬善功德不失故云住持諸有者二十五有皆得二十五種三昧不為界繫故云善超
T1799_001_0252	此嘆自利已下嘆利他能於國土成就威儀無剎不現故云能於國土有威可畏有儀可則行住坐臥皆成軌範
T1799_001_0253	可為標准故云成就等淨名所謂不起滅定現諸威儀也此儀止可觀也從佛轉輪妙堪遺囑智堪遺付也
T1799_001_0254	常隨從佛轉大法輪法有摧輾業煩惱義喻之若輪自既摧破惑障亦能轉教令他破惑於一法中作無量說一一逗機一一稱性以善巧方便令其得入如來知見妙好堪任護付法藏令燈燈相然明明不絕囑法令傳囑生令度總名遺囑也
T1799_001_0255	嚴淨毘尼弘範三界戒可遵依也毘尼云律律法也斷割重輕開遮持犯非法不定弘大也範法也
T1799_001_0256	既嚴持清禁身心弗違大能軌則世間真是法中綱紀也應身無量度脫眾生定能現化也
T1799_001_0257	住首楞嚴化復作化普現色身隨十界機宜何身相現而說法令彼度苦解脫業惑得自在故
T1799_001_0258	法華所謂內祕外現從法身地隨緣俯應如一月不降百水不升慈善根力法爾如是
T1799_001_0259	若非發迹之後無如是歎醍醐味教於斯現矣拔濟未來越諸塵累結悲化無盡也
T1799_001_0260	拔令脫苦濟使得樂佛滅度後故曰未來煩惱與業染污繫縛喻之塵累皆令清淨自在無礙故稱越也
T1799_001_0261	三列眾上首其名曰大智舍利弗具云奢利弗怛囉此云鶖子
T1799_001_0262	其人母眼黑白分明轉動流利從彼所生連母為號亦云身子是佛右面弟子慧解過人故云大智
T1799_001_0263	增一云我佛法中智慧無雙決了諸疑者舍利弗第一摩訶目犍連具云摩訶沒特伽羅此云大采菽氏
T1799_001_0264	又云胡豆即尊者母姓上古仙人所嗜因以命族左面弟子神通無過下經云我遊十方得無罣礙神通發明推為無上
T1799_001_0265	摩訶拘絺羅此云大膝舍利弗舅當論勝姊姊懷身子論則不勝知孕智人寄辨母口何況出胎
T1799_001_0266	遂往南天學十八經人笑之曰累世難通一生非冀聞而立誓學不休止無暇剪爪號長爪梵志
T1799_001_0267	學畢還家知甥為佛弟子起大憍慢往佛所奪佛令立論因即義墮負愧低頭得法眼淨成阿羅漢獲四辨才觸難能答南方天王常隨侍彼也
T1799_001_0268	富樓那彌多羅尼子富樓那父名此云滿父是滿江禱天求得正值江滿又願獲滿夢滿器寶入於母懷從此有孕
T1799_001_0269	由此多義得有此稱彌多羅尼母名此翻為慈亦云知識
T1799_001_0270	其母慈行仍誦事陀知識品故尼女聲也是彼所生連父母召云滿慈子此於如來說法人中最為第一
T1799_001_0271	下經云我曠劫來辯才無礙宣說苦空深達實相河沙如來祕密法門我於眾中微妙開示得無所畏等
T1799_001_0272	須菩提此云空生或云善吉善現等生時家中庫藏器皿皆空故
T1799_001_0273	相者謂言兒必善吉此善吉相現於器故從是得名
T1799_001_0274	於大眾中解空第一入無諍定喜說空法所修行業以空為本
T1799_001_0275	如下經云我曠劫來心得無礙初在母胎即知空寂如是乃至十方成空亦令眾生證得空性蒙如來發性覺真空空性圓明得阿羅漢
T1799_001_0276	優波尼沙陀等而為上首此云近少義翻塵性觀塵性空而得道故
T1799_001_0277	微塵即是色近少分隣近虛空是色邊際故名塵性為近少也
T1799_001_0278	如下經云我悟色性以從不淨白骨微塵歸於虛空空色二無成無學道如來印我名尼沙陀
T1799_001_0279	更有餘人經不具載故云等也即三迦葉輩此皆頭角為眾知識綱領佛法各有弟子故云上首也
T1799_001_0280	二緣覺眾復有無量辟支無學并其初心同來佛所具云辟支迦羅此云緣覺以觀十二因緣而覺悟故此是部行非同麟喻
T1799_001_0281	然不預嘆德列名者以厭喧樂靜不為眾所知識故主伴咸集故云并其初心遇佛迴向必證大果故下經云有學二乘及諸一切新發心菩薩等皆獲本心遠塵離垢得法眼淨
